#YYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
9/12/2010,44:12.3,le,3.75,l,32.022,-115.091,10,D,10796437,35,2000
9/12/2010,44:53.4,le,3.12,l,34.73,-116.773,4,A,10796885,100,1925
9/14/2010,52:18.0,le,4.96,w,32.048,-115.198,10,C,10798005,72,1989
9/14/2010,58:39.2,le,3.15,l,32.188,-115.334,13,B,10798205,31,1717
9/15/2010,09:53.4,le,4.79,l,32.165,-115.247,13.8,B,10798845,27,2018
9/15/2010,23:13.2,le,3.37,l,32.295,-115.366,4.4,B,10799037,70,1758
9/16/2010,54:55.7,le,3.88,l,35.843,-117.677,4.6,A,10800093,63,0
9/17/2010,45:17.7,le,3.34,l,32.627,-115.705,4,A,14842932,37,1801
9/18/2010,40:37.3,le,3.94,l,32.216,-115.329,6.8,C,14843060,35,1799
9/18/2010,47:54.0,le,3.04,l,32.208,-115.34,8.8,C,14843140,23,1640
9/20/2010,30:02.4,le,4.75,w,32.026,-115.108,10,C,14844244,26,1994
9/20/2010,17:46.8,le,3.2,l,31.915,-115.108,10,C,14844332,22,1625
9/21/2010,22:49.6,le,3.38,l,32.251,-115.383,13.2,B,14845268,38,1710
9/21/2010,54:47.4,le,3.77,l,32.184,-115.276,6.2,C,14845508,33,1794
9/22/2010,18:21.7,le,4.67,l,31.137,-115.643,6,C,14845884,32,2010
9/22/2010,21:48.8,le,3.16,l,31.177,-115.678,6,C,14845900,16,1791
9/22/2010,25:28.3,le,3.58,l,31.227,-115.664,6,C,14845892,17,1735
9/24/2010,23:53.9,le,3.54,l,31.287,-115.592,6,C,14847052,25,2011
9/25/2010,47:38.0,le,4.21,l,31.267,-115.659,6,C,14847780,21,2035
9/25/2010,49:25.9,le,4.77,l,31.276,-115.622,6,C,14847788,19,2035
9/25/2010,52:47.7,le,3.57,l,31.247,-115.669,6,C,36781759,18,1731
9/26/2010,18:04.3,le,3.71,l,31.178,-115.77,6,C,14848092,21,2035
9/26/2010,23:02.3,le,3.31,l,31.261,-115.63,6,C,14848444,18,1646
9/27/2010,52:24.9,le,3.49,l,31.265,-115.573,6,C,14848652,19,1951
9/27/2010,05:35.7,le,3.08,l,31.26,-115.555,6,C,14848676,16,1746
9/28/2010,56:46.9,le,3.17,l,31.244,-115.659,6,C,14849324,15,1820
9/29/2010,15:49.6,le,3.32,l,31.231,-115.671,6,C,14849412,16,1867
9/29/2010,19:56.9,le,3.43,l,31.266,-115.612,6,C,14849556,25,1713
9/29/2010,26:55.1,le,3.37,l,31.8,-114.936,6,C,14849732,19,1919
9/30/2010,37:36.7,le,4.37,l,37.146,-117.364,6.4,C,14850084,54,2039
9/30/2010,38:48.6,le,3.2,l,37.167,-117.388,0,B,36878327,10,1873
9/30/2010,41:59.9,le,3.18,l,37.147,-117.373,5,B,14850092,34,1822
9/30/2010,51:53.2,le,3.08,l,37.143,-117.388,1.5,B,14850116,39,1834
9/30/2010,17:10.2,le,3.46,l,37.146,-117.382,3,B,14850172,40,1917
