Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1880	-32	-26	-21	-29	-15	-22	-18	-10	-19	-17	-15	-19
1881	-12	-13	-1	-1	-1	-25	-10	-6	-16	-21	-26	-17
1882	4	6	0	-21	-18	-29	-25	-8	-9	-23	-23	-35
1883	-36	-36	-11	-18	-19	-6	-1	-12	-18	-18	-27	-19
1884	-19	-13	-29	-34	-32	-34	-30	-23	-27	-24	-28	-24
1885	-55	-27	-17	-35	-33	-38	-26	-23	-16	-13	-12	3
1886	-36	-41	-32	-22	-20	-28	-11	-19	-10	-20	-27	-16
1887	-58	-41	-24	-32	-27	-23	-17	-27	-22	-31	-27	-39
1888	-41	-39	-38	-23	-25	-19	-9	-12	-9	-2	0	-8
1889	-17	17	8	8	0	-9	-11	-17	-17	-20	-31	-28
1890	-39	-35	-35	-32	-42	-27	-23	-31	-30	-20	-43	-28
1891	-41	-48	-17	-26	-19	-25	-24	-19	-15	-26	-39	-11
1892	-34	-13	-34	-37	-33	-29	-33	-26	-19	-16	-46	-42
1893	-83	-57	-27	-34	-43	-33	-16	-27	-22	-21	-20	-36
1894	-53	-33	-24	-46	-37	-40	-25	-21	-24	-22	-33	-25
1895	-49	-48	-28	-22	-29	-26	-18	-17	-8	-11	-15	-18
1896	-29	-19	-32	-37	-23	-15	-8	-9	-5	5	-15	-12
1897	-20	-21	-22	-10	-10	-21	-11	-17	-11	-17	-23	-26
1898	-11	-37	-55	-33	-34	-22	-25	-25	-22	-34	-38	-24
1899	-19	-38	-34	-19	-24	-34	-18	-12	-5	-5	8	-29
1900	-37	-2	2	-15	-14	-21	-18	-14	-14	-4	-19	-13
												
Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1901	-32	-7	1	-11	-22	-17	-17	-22	-24	-34	-24	-32
1902	-19	-2	-28	-30	-34	-37	-28	-31	-25	-34	-41	-46
1903	-25	0	-19	-38	-40	-46	-35	-42	-41	-46	-44	-52
1904	-65	-54	-42	-49	-49	-43	-45	-42	-45	-36	-17	-24
1905	-32	-59	-27	-33	-30	-30	-29	-24	-20	-26	-11	-22
1906	-29	-31	-14	-6	-23	-24	-31	-24	-29	-27	-46	-19
1907	-44	-52	-32	-43	-49	-44	-37	-34	-31	-24	-52	-50
1908	-43	-35	-55	-43	-37	-40	-40	-44	-33	-42	-49	-47
1909	-65	-45	-49	-56	-54	-50	-40	-30	-34	-39	-32	-55
1910	-44	-43	-47	-45	-43	-44	-35	-36	-37	-43	-54	-66
1911	-62	-58	-63	-53	-51	-49	-39	-41	-36	-26	-22	-25
1912	-28	-18	-40	-27	-28	-30	-47	-58	-53	-62	-44	-48
1913	-47	-47	-45	-40	-48	-47	-38	-37	-38	-40	-25	-10
1914	-2	-18	-26	-31	-25	-30	-34	-24	-22	-11	-23	-15
1915	-25	-8	-15	-3	-14	-19	-10	-19	-16	-24	-12	-22
1916	-19	-22	-32	-31	-33	-45	-33	-33	-33	-31	-39	-74
1917	-43	-54	-51	-44	-57	-43	-24	-28	-26	-42	-33	-72
1918	-43	-35	-25	-43	-40	-34	-28	-31	-20	-9	-21	-38
1919	-25	-27	-29	-22	-31	-33	-28	-25	-22	-20	-38	-36
1920	-14	-23	-5	-22	-23	-27	-24	-27	-29	-36	-37	-49
												
Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1921	-6	-21	-24	-26	-27	-22	-12	-25	-19	-14	-22	-22
1922	-33	-42	-18	-24	-31	-32	-26	-32	-31	-31	-18	-22
1923	-26	-35	-29	-37	-33	-26	-32	-32	-28	-14	-1	-5
1924	-20	-21	-7	-30	-19	-25	-25	-29	-25	-29	-14	-35
1925	-32	-34	-22	-21	-30	-33	-27	-19	-15	-20	-1	7
1926	17	7	12	-10	-22	-23	-20	-14	-9	-9	-5	-24
1927	-21	-15	-33	-27	-18	-23	-15	-21	-7	2	-2	-30
1928	2	-5	-23	-23	-24	-32	-16	-21	-15	-15	-4	-12
1929	-38	-51	-29	-35	-31	-37	-32	-26	-19	-10	-9	-47
1930	-21	-20	-4	-20	-21	-17	-15	-11	-10	-7	16	-2
1931	-3	-18	-5	-14	-17	-7	-2	-1	-4	4	-5	-3
1932	17	-14	-13	0	-14	-24	-18	-18	-3	1	-18	-16
1933	-26	-27	-24	-21	-23	-29	-18	-20	-22	-19	-26	-40
1934	-18	1	-27	-27	-6	-9	-4	-8	-14	-4	7	2
1935	-29	18	-8	-29	-24	-18	-13	-15	-12	-1	-23	-17
1936	-21	-32	-20	-16	-11	-13	1	-5	-2	0	0	2
1937	-3	13	-11	-9	0	2	2	8	17	14	15	-3
1938	11	5	16	12	0	-8	2	3	11	19	13	-13
1939	-1	-2	-15	-5	0	-3	-3	-4	-2	0	5	42
1940	-11	9	10	16	7	5	8	-1	11	7	9	14
												
Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1941	6	20	0	10	11	7	14	6	-7	18	7	9
1942	28	3	7	9	8	3	-1	-3	-2	1	6	7
1943	-11	10	-6	9	5	-7	7	1	6	22	15	20
1944	31	19	19	11	13	10	11	10	19	17	6	-2
1945	2	-9	-1	9	-1	-8	-5	16	8	10	1	-15
1946	14	7	-4	3	-11	-17	-10	-15	-8	-13	-5	-32
1947	-11	-9	4	3	-7	-8	-7	-9	-13	9	5	-10
1948	12	-12	-21	-9	1	-6	-13	-14	-17	-10	-15	-19
1949	12	-17	-5	-12	-12	-25	-17	-11	-13	-7	-9	-18
1950	-29	-29	-7	-19	-11	-10	-15	-21	-12	-17	-33	-19
1951	-33	-43	-20	-9	4	-5	0	7	5	10	-2	12
1952	13	12	-9	5	1	-2	7	5	7	-2	-15	-1
1953	11	20	13	20	10	6	0	8	6	7	-2	6
1954	-22	-10	-13	-15	-19	-14	-17	-14	-6	-1	9	-15
1955	16	-16	-32	-18	-20	-10	-8	8	-10	-3	-26	-31
1956	-16	-23	-19	-24	-25	-14	-9	-27	-15	-22	-15	-9
1957	-12	-7	-8	0	5	16	0	19	9	0	8	16
1958	38	24	10	2	5	-12	0	-8	-7	1	2	-1
1959	8	6	17	14	3	2	4	-1	-5	-9	-9	1
1960	-4	12	-36	-17	-11	-3	-6	-1	5	6	-12	16
												
Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1961	5	18	8	12	13	11	0	3	5	0	3	-16
1962	7	15	10	6	-5	4	1	0	-1	0	8	0
1963	-1	20	-15	-7	-5	5	12	24	20	16	17	1
1964	-7	-11	-23	-30	-25	-6	-6	-24	-29	-29	-18	-28
1965	-6	-17	-10	-19	-12	-12	-13	-4	-15	-5	-5	-5
1966	-16	0	7	-12	-9	0	7	-7	-1	-13	0	-4
1967	-5	-18	7	-2	14	-8	1	2	-5	9	-6	0
1968	-21	-12	25	-2	-11	-5	-7	-8	-17	11	-5	-13
1969	-11	-14	0	16	15	6	-3	2	9	12	14	29
1970	10	24	9	9	-3	1	0	-8	11	5	2	-12
1971	-1	-18	-17	-8	-4	-16	-9	0	2	-3	-2	-5
1972	-25	-16	3	-1	1	9	4	18	2	8	3	20
1973	28	31	26	26	25	18	10	4	9	13	5	-5
1974	-14	-26	-4	-10	-1	-5	-3	10	-11	-6	-6	-8
1975	8	7	14	4	15	2	0	-20	-3	-10	-16	-18
1976	-3	-8	-22	-9	-22	-15	-9	-16	-9	-29	-8	4
1977	12	15	21	23	27	25	20	16	-3	0	16	3
1978	5	10	18	11	3	-2	4	-19	6	0	14	6
